game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,carries,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,receiving_broken_tackles
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Matthew Stafford,StafMa00,1.0,2.0,2.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Darrell Henderson,HendDa00,13.0,30.0,2.3,17.0,1.3,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Cam Akers,AkerCa00,3.0,0.0,0.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Brandon Powell,PoweBr00,1.0,3.0,3.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Matthew Stafford,StafMa00,1.0,2.0,2.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Josh Allen,AlleJo02,10.0,36.0,3.6,20.0,2.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Devin Singletary,SingDe00,8.0,33.0,4.1,15.0,1.9,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Zack Moss,MossZa00,6.0,12.0,2.0,3.0,0.5,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,James Cook,CookJa01,1.0,2.0,2.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Josh Allen,AlleJo02,10.0,36.0,3.6,20.0,2.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Devin Singletary,SingDe00,8.0,33.0,4.1,15.0,1.9,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Zack Moss,MossZa00,6.0,12.0,2.0,3.0,0.5,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,James Cook,CookJa01,1.0,2.0,2.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Josh Allen,AlleJo02,10.0,36.0,3.6,20.0,2.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Devin Singletary,SingDe00,8.0,33.0,4.1,15.0,1.9,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Zack Moss,MossZa00,6.0,12.0,2.0,3.0,0.5,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,James Cook,CookJa01,1.0,2.0,2.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Josh Allen,AlleJo02,10.0,36.0,3.6,20.0,2.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Devin Singletary,SingDe00,8.0,33.0,4.1,15.0,1.9,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Zack Moss,MossZa00,6.0,12.0,2.0,3.0,0.5,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,James Cook,CookJa01,1.0,2.0,2.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Josh Allen,AlleJo02,10.0,36.0,3.6,20.0,2.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Devin Singletary,SingDe00,8.0,33.0,4.1,15.0,1.9,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Zack Moss,MossZa00,6.0,12.0,2.0,3.0,0.5,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,James Cook,CookJa01,1.0,2.0,2.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Josh Allen,AlleJo02,10.0,36.0,3.6,20.0,2.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Devin Singletary,SingDe00,8.0,33.0,4.1,15.0,1.9,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Zack Moss,MossZa00,6.0,12.0,2.0,3.0,0.5,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,James Cook,CookJa01,1.0,2.0,2.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Josh Allen,AlleJo02,10.0,36.0,3.6,20.0,2.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Devin Singletary,SingDe00,8.0,33.0,4.1,15.0,1.9,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Zack Moss,MossZa00,6.0,12.0,2.0,3.0,0.5,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,James Cook,CookJa01,1.0,2.0,2.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Josh Allen,AlleJo02,10.0,36.0,3.6,20.0,2.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Devin Singletary,SingDe00,8.0,33.0,4.1,15.0,1.9,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,Zack Moss,MossZa00,6.0,12.0,2.0,3.0,0.5,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,BUF,LA,James Cook,CookJa01,1.0,2.0,2.0,0.0,0.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Cordarrelle Patterson,PattCo00,22.0,75.0,3.4,45.0,2.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Marcus Mariota,MariMa01,12.0,66.0,5.5,6.0,0.5,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Avery Williams,WillAv02,2.0,7.0,3.5,0.0,0.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Damien Williams,WillDa05,2.0,0.0,0.0,2.0,1.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Cordarrelle Patterson,PattCo00,22.0,75.0,3.4,45.0,2.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Marcus Mariota,MariMa01,12.0,66.0,5.5,6.0,0.5,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Avery Williams,WillAv02,2.0,7.0,3.5,0.0,0.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Damien Williams,WillDa05,2.0,0.0,0.0,2.0,1.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Cordarrelle Patterson,PattCo00,22.0,75.0,3.4,45.0,2.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Marcus Mariota,MariMa01,12.0,66.0,5.5,6.0,0.5,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Avery Williams,WillAv02,2.0,7.0,3.5,0.0,0.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Damien Williams,WillDa05,2.0,0.0,0.0,2.0,1.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Cordarrelle Patterson,PattCo00,22.0,75.0,3.4,45.0,2.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Marcus Mariota,MariMa01,12.0,66.0,5.5,6.0,0.5,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Avery Williams,WillAv02,2.0,7.0,3.5,0.0,0.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Damien Williams,WillDa05,2.0,0.0,0.0,2.0,1.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Cordarrelle Patterson,PattCo00,22.0,75.0,3.4,45.0,2.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Marcus Mariota,MariMa01,12.0,66.0,5.5,6.0,0.5,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Avery Williams,WillAv02,2.0,7.0,3.5,0.0,0.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Damien Williams,WillDa05,2.0,0.0,0.0,2.0,1.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Cordarrelle Patterson,PattCo00,22.0,75.0,3.4,45.0,2.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Marcus Mariota,MariMa01,12.0,66.0,5.5,6.0,0.5,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Avery Williams,WillAv02,2.0,7.0,3.5,0.0,0.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Damien Williams,WillDa05,2.0,0.0,0.0,2.0,1.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Cordarrelle Patterson,PattCo00,22.0,75.0,3.4,45.0,2.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Marcus Mariota,MariMa01,12.0,66.0,5.5,6.0,0.5,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Avery Williams,WillAv02,2.0,7.0,3.5,0.0,0.0,0.0,
2022_01_NO_ATL,202209110atl,2022,1,REG,ATL,NO,Damien Williams,WillDa05,2.0,0.0,0.0,2.0,1.0,0.0,
